All,Wszystko
"Override Merchant Name","Zastąp nazwę sprzedawcy"
"Require Customer's Billing Address","Wymagania Adres Rozliczeniowy Klienta"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Pozwala edytować adres dostawy podczas realizacji transakcji na stronie PayPal"
"Display on Shopping Cart","Wyświetl w koszyk"
"Skip Order Review","Pomiń krok z podsumowaniem zamówienia"
"3D Secure Verification Settings","Ustawienia bezpiecznej weryfikacji 3D"
"3D Secure Verification","3D bezpieczna weryfikacja"
"Threshold Amount","Wysokość progu"
"Verify for Applicable Countries","Weryfikuj wyszczególnione kraje"
"Verify for Specific Countries","Weryfikuj wybrane kraje"
"Dynamic Descriptors","Opis dynamiczny"
Phone,Telefon
URL,"ADRES URL"
"CVV is required.","Pole CVV jest wymagane."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV musi składać się z 4 cyfr dla karty American Expres albo z 3 cyfr dla innych kart."
"Expiration date is required.","Wymagana data ważności."
"Expiration date is invalid.","Podana data ważności jest nieprawidłowa."
"Expiration year is invalid. It must be between 1975 and 2201.","Rok wygaśnięcia ważności karty jest niepoprawny. Wybierz rok pomiędzy 1975 a 2201."
"Expiration month is invalid.","Miesiąc w dacie ważności nie jest prawidłowy."
"Expiration year is invalid.","Rok w dacie ważności nie jest prawidłowy."
"Credit card number is required.","Wymagany jest numer karty kredytowej."
"Credit card number is invalid.","Numer karty kredytowej jest nieprawidłowy."
"Credit card number must be 12-19 digits.","Numer karty kredytowej musi mieć od 12 do 19 cyfr."
"Cardholder name is too long.","Nazwisko posiadacza karty kredytowej jest za długie."
"CVV verification failed.","Weryfikacja kodu CVV nie powiodła się."
"Postal code verification failed.","Weryfikacja kodu pocztowego nie powiodła się."
"Credit card number is prohibited.","Numer karty kredytowej jest zablokowany."
"Addresses must have at least one field filled in.","Przynajmniej jedno pole dla adresów musi być wypełnione."
"Company is too long.","Nazwa firmy jest zbyt długa."
"Extended address is too long.","Nazwa ulicy jest za długa."
"First name is too long.","Imię jest za długie."
"Last name is too long.","Nazwisko jest za długie."
"Locality is too long.","Nazwa miejscowości jest za długa."
"Postal code is required.","Kod pocztowy jest wymagany."
"Postal code may contain no more than 9 letter or number characters.","Kod pocztowy nie może zawierać więcej niż 9 liter lub cyfr."
"Region is too long.","Nazwa regionu jest za długa."
"Street address is required.","Nazwa ulicy jest wymagana."
"Street address is too long.","Nazwa ulicy jest zbyt długa."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Kod pocztowy może zawierać tylko litery, cyfry, spacje i myślniki."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","Kody stanów USA muszą zwierać dwa znaki, aby spełnić warunki ochrony sprzedających serwisu PayPal."
"Incomplete PayPal account information.","Niekompletne dane konta PayPal."
"Invalid PayPal account information.","Nieprawidłowe dane konta PayPal."
"PayPal Accounts are not accepted by this merchant account.","PayPal nie jest akceptowany przez tego sprzedawcę."
"Billing address format is invalid.","Format adresu rozliczeniowego jest niepoprawny."
"Country name is not an accepted country.","Nazwa państwa nie jest prawidłowa."
"Country code is not accepted. Please contact the store administrator.","Kod kraju nie został zaakceptowany. Skontaktuj się z administratorem sklepu."
"Provided country information is inconsistent.","Podane informacje o kraju są sprzeczne."
"Customer has already reached the maximum of 50 addresses.","Klient osiągnął już maksymalną liczbę 50 adresów."
"Address is invalid. Please contact the store administrator.","Adres jest niepoprawny. Skontaktuj się z administratorem sklepu."
"Error communicating with PayPal.","Błąd połączenia z serwisem PayPal."
"PayPal authentication expired.","Uwierzytelnienie PayPal wygasło."
"Error executing PayPal order.","Wystąpił błąd podczas wykonywania zamówienia PayPal."
"Error executing PayPal billing agreement.","Wystąpił błąd w trakcie realizacji płatności w ramach umowy rozliczeniowej PayPal."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Stosować filtry w celu uzyskania wyników. Wyświetlane są tylko pierwsze 100 rekordów w siatce, będzie można pobrać pełną wersję raportu w formacie .csv."
Select...,Wybierz...
"Transaction Type","Rodzaj transakcji"
"Payment Type","Rodzaj płatności"
"PayPal Payment ID","Identyfikator płatności PayPal"
"Created At",Utworzono
"Transaction ID","Identyfikator transakcji"
"Order ID","ID zamówienia"
Amount,Kwota
"Settlement Code","Rozliczenie kod"
"Settlement Response Text","Tekst odpowiedzi na rozliczenia"
"Refund Ids",Zwroty
"Settlement Batch ID","Partia Rozliczeń ID"
Month,Miesiąc
Year,Rok
"Stored Card","Przechowywane karty"
"Credit card successfully added","Pomyślnie dodano kartę kredytową"
"Something went wrong while saving the card.","Coś się zepsuło podczas zapisywania kart."
"Credit card does not exist","Karta kredytowa nie istnieje"
"Delete Credit Card","Usuń kartę kredytową"
"There was error deleting the credit card","Wystąpił błąd podczas usuwania karty kredytowej"
"Credit card successfully deleted","Pomyślnie usunięto kartę kredytową"
"Edit Credit Card","Edytuj kartę kredytową"
"My Credit Cards","Karty kredytowe"
"New Credit Card","Nowa karta kredytowa"
"There was error during saving card data","Wystąpił błąd podczas zapisywania danych karty"
"We can't place the order.","Nie można złożyć zamówienia."
"Incorrect payment method.","Nieprawidłowa metoda płatności."
"We can't initialize checkout review.","Nie można zainicjować przeglądu zamówienia."
"We can't update shipping method.","Nie udało się zaktualizować metody dostawy."
"The processor declined your transaction, please re-enter your payment information","Procesor odrzucił transakcję. Wprowadź ponownie dane płatności"
"Transaction declined by gateway: Check card details or try another card","Transakcja została odrzucona przez bramkę płatności: Sprawdź poprawność danych lub użyj innej karty"
"Transaction declined: ","Transakcja odrzucona: "
"The processor responded with an unknown error","Procesor zwrócił nieznany błąd"
"Credit card type is not allowed for your country.","Ten rodzaj karty kredytowej nie jest dozwolony dla Twojego kraju."
"Credit card type is not allowed for this payment method.","Karta kredytowa nie jest dozwolona w tej metodzie płatności."
"Selected payment type is not allowed for billing country.","Wybrana płatność nie jest dozwolona dla wybranego kraju."
"Incomplete payment information.","Niekompletna informacja płatności."
"Please try again later","Spróbuj ponownie później"
"Can not find original authorization transaction for partial capture","Nie można znaleźć oryginalnej autoryzacji transakcji częściowego przechwytywania"
"There was an error capturing the transaction: %1.","Wystąpił błąd podczas przechwytywania transakcji: %1."
"This refund is for a partial amount but the Transaction has not settled.","Ten zwrot dotyczy kwoty częściowe ale transakcja nie jest rozliczona."
"Please wait 24 hours before trying to issue a partial refund.","Odczekaj 24 godziny przed kolejną próbą wydania częściowego zwrotu kosztów."
"There was an error refunding the transaction: %1.","Wystąpił błąd podczas zwrotu za transakcję: %1."
"Some transactions are already settled or voided and cannot be voided.","Niektóre transakcje są już rozstrzygnięte lub unieważnione i nie mogą być unieważnione."
"Voided capture.","Unieważnione przechwytywanie."
"There was an error voiding the transaction: %1.","Wystąpił błąd podczas anulowania transakcji: %1."
Invoice,Faktura
Shipment,Dostawa
"Invalid Customer ID provided","Zapewniono nieprawidłowy identyfikator klienta"
"some error",błąd
"a,b,c","a, b, c"
"Something went wrong while processing.","Coś się zepsuło podczas przetwarzania."
error,błąd
exception,wyjątek
"Payment Information","Informacje o płatności"
"Add new card","Dodaj nową kartę"
"Save this card for future use","Zapisz tę kartę aby wykorzystać w przyszłości"
or,lub
"Please confirm that you want to delete this credit card","Proszę potwierdzić, że chcesz usunąć tę kartę kredytową"
"Cardholder Name","Nazwisko posiadacza karty"
"* Required Fields","* pola wymagane"
"Card Verification Number Visual Reference","Wizualna referencja numeru weryfikacyjnego karty"
"Make Default","Ustaw jako domyślne"
"Billing Address","Adres rozliczeniowy"
Company,Firma
Address,Adres
State/Province,Województwo
"Please select region, state or province","Wybierz województwo"
"Zip/Postal Code","Kod pocztowy"
"Add Credit Card","Dodaj kartę kredytową"
"Card Number","Numer karty"
"Is Default","Jest domyślny"
"An error occured with payment processing.","Wystąpił błąd podczas przetwarzania płatności."
"Can not initialize PayPal (Braintree)","Nie można zainicjować PayPal (Braintree)"
"Capture action","Przejmij akcję"
"Use Vault","Użyj Vault"
"Allow Duplicate Cards","Umożliwić duplikat karty"
"Enable Credit Card auto-detection on Storefront","Włącz auto wykrywanie karty kredytowej na Storefront"
"Your Kount ID","Identyfikator Kount"
"Use Cache","Użyj pamięci podręcznej"
"Edit My Credit Cards","Edytuj karty kredytowe"
"Pay with PayPal","Zapłać z PayPal"
"Transaction is cancelled offline.","Transakcja jest anulowana w trybie offline."
"Braintree Settlement","Rozliczenie Braintree"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Jeśli nie wybierzesz konkretnego konta do procesowania transakcji, Braintree wykona zlecenie używając konta domyślnego."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Upewnij się, że funkcja Advanced Fraud Protection w sekcji Ustawienia/Procesowanie twojego konta Braintree jest uruchomiona."
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Używany do bezpośredniej integracji narzędzia do oszustw. Upewnij się również, że skontaktowałeś się z <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a>, aby skonfigurować swoje konto Kount."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Pamiętaj, aby włączyć AVS i/lub CVV na swoim koncie Braintree w sekcji Ustawienia/Przetwarzanie."
"It is recommended to set this value to ""PayPal"" per store views.","Zalecane jest ustawienia tej wartości na ""PayPal"" na każy widok sklepu."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Funkcję tę należy najpierw włączyć dla konta sprzedawcy za pośrednictwem pomocy technicznej PayPal."
"Also affects mini-shopping cart.","Również dotyczy mini-koszyka."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamiczne deskryptory są wysyłane dla każdej transakcji i definiują, co pojawi się na wyciągu z karty kredytowej klienta dla konkretnego zakupu.
                            Im jaśniejszy opis produktu, tym mniejsze prawdopodobieństwo, że klienci dokonają obciążenia zwrotnego z powodu pomyłki lub braku rozpoznania.
                            Dynamiczne deskryptory nie są domyślnie włączone na wszystkich kontach. Jeśli otrzymasz błąd walidacji 92203 lub jeśli dynamiczne deskryptory nie wyświetlają się zgodnie z oczekiwaniami,
                            prosimy o <a href=""mailto:support@getbraintree.com"">wsparcie Braintree</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","Wartość w polu nazwy firmy na wyciągu klienta. Sekcja nazwy firmy/DBA musi składać się z 3, 7 lub 12 znaków
                                a deskryptor produktu może składać się odpowiednio z maksymalnie 18, 14 lub 9 znaków (z * pomiędzy, aby całkowita nazwa deskryptora wynosiła 22 znaki)."
